NVDA
NRG
KMB
CBOE
RMD
STLD
GEHC
CRDO
CCL
NTRS
DOV
DTE
VICI
OTIS
UAL
WAT
Q
TPR
AXON
TDY
FTI
EXR
CASY
HUBB
AEE
USD
XYL
EXPE
DVN
ATO
CPRT
PPL
PAYX
INSM
CFG
CNP
ALAB
QSR
HSY
WTW
IQV
RJF
DOW
BIIB
NTRA
FE
CW
CPNG
CTSH
DG
SYF
MTD
EIX
ES
HUM
AWK
WDAY
TPL
FN
CTRA
LPLA
XPO
CINF
PPG
PHM
ULTA
VRSK
LYV
AVB
ZM
OMC
RF
UTHR
DXCM
VEEV
FTAI
FIS
MKL
EQR
MTZ
FICO
DRI
CMS
SBAC
ENTG
NI
RVMD
P
CHD
NVT
VRSN
STZ
WSM
LH
SOFI
WST
VLTO
PFG
EXE
WWD
NTAP
CHRW
ALB
STE
TROW
DGX
ARES
CPAY
RGLD
EFX
BURL
ATI
CRS
USFD
SW
KEY
CNC
TWLO
BWXT
RDDT
DLTR
MDB
RBA
EXPD
FSLR
CDE
SNA
ILMN
TSCO
FTV
CF
JBHT
DD
LEN
RPRX
MKSI
MTSI
PKG
BRO
EL
RS
L
EVRG
FWONK
KHC
GIS
LUV
LDOS
HPQ
ITT
WY
LNT
BR
RBC
IFF
BAM
LYB
ZBH
SNX
TSN
MRNA
AFRM
APG
AMCR
NVR
FLUT
CDW
FCNCA
NXT
RMBS
FFIV
AA
IP
EWBC
ROL
ASTS
LSCC
VTRS
BALL
BG
INVH
GPN
TLN
ESS
LVS
TRMB
NLY
PTC
SATS
JLL
OVV
KIM
SGI
WPC
SUI
TTMI
TXT
DECK
THC
MAS
CLH
LII
ONTO
CSL
CSGP
IEX
STRL
J
HEIA
WSO
NDSN
SCCO
PNR
LULU
ROKU
INCY
CHTR
GPC
WCC
WRB
TYL
SMCI
RKT
DKS
MLI
HST
MAA
PR
AEIS
MDLN
LECO
REG
RL
EG
PNFP
SSNC
IONQ
VIK
PFGC
TRU
TOL
RNR
HII
RRX
RGA
RPM
QXO
FNF
GGG
PODD
AKAM
MOD
UNM
TW
TOST
DTM
HAS
OHI
APA
FOXA
NYT
ZS
COO
MKC
APTV
ALGN
SITM
SOLS
BLD
EVR
GNRC
FIVE
TKO
RIVN
AVY
PEN
GLPI
GL
ALLE
CG
SCI
NBIX
PNW
OKTA
BJ
AGNC
ELS
CLX
FHN
EXEL
JAZZ
ARMK
BWA
DY
TEAM
ALLY
SF
AIZ
FORM
CCK
GDDY
WBS
ALSN
HL
SAIA
EQH
GWRE
CACI
LAMR
SWK
PINS
ROIV
BBY
DPZ
AIT
DOC
ZBRA
IONS
UDR
BBIO
HUBS
CRCL
JKHY
HEI
VIAV
DKNG
COKE
CPT
FLS
ELAN
KTOS
AR
TXRH
WMS
GH
WTRG
DCI
AAOI
OC
TTD
ACM
SPXC
GMED
IT
ENSG
SMTC
DT
GEN
EHC
R
EGP
RVTY
VMI
KNX
NTNX
NWSA
GME
SOLV
AES
AMH
SANM
ARW
BLDR
BMRN
RRC
SJM
BPOP
AMKR
SWKS
OGE
ARWR
DINO
IDCC
LFUS
SN
BAH
DAR
IVZ
PL
CAVA
CNM
ORI
WTFC
SSB
MOH
OSK
GTLS
AGX
MEDP
IOT
UHS
CRUS
TTC
FRT
PRI
DOCU
AYI
BAX
CGNX
CR
BRX
MUSA
AHR
BXP
ZION
MOGA
CNH
COLB
UMBF
SEIC
VNOM
ESI
LUMN
FCFS
KEX
MANH
CRL
PRIM
PRAX
MDGL
HLI
CUBE
MTCH
MP
FDS
TIGO
OKLO
AFG
CFR
EMN
CTRE
U
TECH
HSIC
ADC
WAL
REXR
FOX
LKQ
TTEK
APLD
CMC
FLR
ONB
NFG
HALO
MGM
WYNN
AWI
NOV
ATR
ARE
XP
AMG
NNN
NCLH
ONON
ENS
SNEX
ESE
CYTK
FR
WTS
AAL
SSD
WFRD
QGEN
IDA
VOYA
UGI
CHRD
AXSM
W
MASI
POOL
AOS
AXS
ZWS
RBRK
GFS
Z
INGR
SM
DOX
MOS
KNSL
QRVO
PCVX
JXN
MTDR
HUT
TAP
AVAV
FAF
BEN
FSS
STAG
JEF
CART
CE
VSAT
DOCN
SFM
H
OMF
AM
AGCO
HQY
POWL
PLXS
HXL
EXP
TEX
PCOR
BROS
LEA
ORA
VFC
QBTS
MSFUT
IBP
MIDD
KRYS
SLAB
AXTA
GKOS
JBTM
GATX
CAG
CWAN
JHG
TKR
MTG
EPAM
NPO
UEC
SITE
CBSH
ECG
CHDN
LAD
AROC
TFX
AAON
GXO
ETSY
PAYC
RGEN
LW
WH
RYN
TMHC
PB
RIOT
AVT
GBCI
HIMS
HRL
ST
STWD
THG
EAT
ESNT
NXST
VLY
NE
CHE
TRNO
LSTR
EPRT
BTSG
FNB
HR
MSA
CHWY
LNC
CZR
SSRM
GTES
KGS
MKTX
LNTH
RHP
PTGX
HWC
WULF
PLNT
ACI
KMX
POR
CIFR
AUR
UBSI
AUB
SWX
UFPI
DVA
PIPR
VNT
GAP
OLLI
ESAB
RITM
ACA
CORZ
CROX
MAC
CELH
VICR
IESC
TPG
BDC
SARO
BC
VSNT
GNTX
MHK
OWL
BKH
TXNM
FCN
M
MUR
BIO
WING
WTM
NJR
G
TGTX
OGS
RIG
CLF
ALGM
LYFT
KRG
MSGS
VAL
SR
AS
ABCB
MATX
FND
BEPC
COGT
BCPC
ALKS
MGY
AVTR
ROAD
RDN
SXT
RGTI
BSY
AN
ATMU
OZK
VNO
HOMB
NUVL
POST
CWST
BOOT
MYRG
SIGI
PVH
CRC
WEX
KNF
GVA
SYRE
FBIN
COMP
ALK
SLM
MTH
PTCT
LBRT
SIRI
REZI
TEM
RAL
OSIS
AX
CNX
GLNG
PRMB
PECO
DAN
KLIC
HASI
JOBY
LOPE
NOVT
UHALB
CSW
BIPC
SAIC
TCBI
MAT
ENPH
BCO
KBR
KYMR
VSEC
XENE
SBRA
LPX
DIOD
ACLS
SON
CNR
HCC
MIR
MRP
OPCH
OLED
TDS
FTDR
SKY
BYD
TERN
PCTY
BBWI
EXLS
LGND
URBN
CRSP
RLI
S
BFAM
LBRDK
ACLX
MTN
MSM
CNO
EBC
ENVA
AZZ
FELE
YOU
PTEN
ANF
TREX
DBX
ESTC
ACIW
PRM
PSMT
VISN
RYTM
ASB
MARA
OUT
LAZ
FOLD
RUSHA
UUUU
TDW
NVST
CORT
GPI
TPC
EPR
POWI
GSAT
LLYVK
PLUG
CELC
CVSA
MDU
WSFS
CVCO
MWA
VVV
MXL
INDB
FLG
VSCO
BFB
PATH
WSC
TNL
MORN
IRDM
HRB
NWE
ABG
CGON
FFIN
LAUR
NEU
LGN
LRN
UI
MC
SFBS
CBT
IRTC
AGO
APLS
AMTM
TVTX
UNF
CVLT
CUZ
USAR
BRKR
SHC
MMSI
INDV
LMND
SKT
ALHC
VIRT
THO
CPB
ITRI
IBOC
SIG
RDNT
FULT
KAI
HP
HRI
AIR
TPH
GFF
KTB
APPF
DUOL
MRCY
CRNX
UCB
CC
SRRK
RNST
CLSK
HLNE
FBP
KBH
STNG
ZETA
WLK
RNG
BGC
DLB
KRC
GTX
ADT
WHD
ERAS
BMI
ASO
SKYW
LTH
SHAK
COLD
MHO
TMDX
CARG
SYNA
PJT
HWKN
BXMT
KRMN
CDP
CSTM
UCTT
GHC
NATL
MIRM
NWS
SDRL
ELF
FUL
PEGA
BNL
APGE
ACHR
CATY
FHB
FSLY
BFH
OTTR
MMS
MTRN
KFY
CENX
RYAN
OII
RELY
BCC
PHIN
TWST
BHF
PLMR
IRT
VSH
NMIH
BKD
BOX
IAC
AAP
CWEN
CVBF
OPLN
YETI
SPHR
STNE
PBF
BKU
STEP
CHH
ACMR
JHX
VKTX
CRGY
GNW
OLN
AVA
CALM
CPRX
LIVN
OSCR
CBU
EXPO
PI
NHI
PII
LEU
AEO
KMT
AVNT
SLGN
DOCS
PATK
PAG
CAR
INSW
KD
ADEA
PLAB
GTLB
SXI
QLYS
TNGX
APLE
FOUR
PARR
LCII
JOE
SLNO
CNK
DNTH
FIBK
LASR
IPGP
DORM
RXO
HAE
WSBC
EEFT
BTU
BOH
HAYW
MPT
VCTR
SOUN
AWR
DNLI
WDFC
QTWO
BOKF
PBH
DAVE
PFS
FRPT
BILL
KN
NSA
VC
QS
NVTS
SFNC
SLG
ASH
VECO
ITGR
SEI
NTB
DRS
LQDA
TOWN
PSN
AMBA
DX
KALU
WHR
OGN
PFSI
DK
BELFB
MGEE
GPGI
ACAD
UPST
NIC
LXP
ARCB
TRMK
FFBC
ATKR
MRX
ICUI
PENN
CTRI
HGV
ANDE
CPK
SHOO
HUBG
NGVT
BHE
WAY
VRNS
NG
LUNR
HOG
CLDX
CCC
GPK
ADMA
RHI
MSGE
SMG
IMNM
CAKE
CWT
ARQT
MGRC
FCPT
ORKA
ABM
FBNC
SBCF
GPOR
DYN
GOLF
PRVA
RRR
FRHC
WK
HNI
TDC
PPTA
CHEF
SMMT
VCYT
SPB
RUN
WAFD
MCY
UNFI
BANF
AMPX
CURB
VGNT
ACHC
HE
UE
NMRK
BATRK
TXG
IDYA
IMVT
PK
BANR
VRRM
LOAR
BEAM
ROG
DBRG
OSW
PRDO
WT
AKR
SUPN
NOG
AEHR
HIW
EWTX
PLUS
MZTI
EOSE
BLBD
TRN
BWIN
BCRX
NWN
KOD
TBBK
DNOW
CSGS
ATEN
CALX
TENB
CPRI
RLAY
XRAY
CON
CXW
GEO
DFTX
EXTR
KNTK
BLX
BANC
PRK
LINE
HUN
BBT
WU
CACC
ZD
NHC
RARE
ADPT
AUPH
IVT
AMRX
TARS
COCO
HURN
BUSE
XMTR
WRBY
AMSC
GRBK
CALY
IBRX
DRH
MTX
AAMI
DBD
RH
BRBR
SAM
ZG
DXC
IRON
FRME
CWK
CXT
LION
EVTC
AMR
DHT
APAM
ATRO
FBK
EPAC
CASH
CUBI
CLMT
WERN
DCO
HLIO
ADNT
VERA
EFSC
NTCT
BIRK
CECO
RSI
NEOG
ECPG
ALRM
LMAT
CNS
NSIT
PAGS
YELP
SPSC
KMPR
SYBT
FWONA
BRZE
VAC
TALO
GT
RCUS
SHO
LBTYK
CENTA
LBTYA
GNL
ELVN
COHU
NTST
ICHR
PTON
HMN
NWBI
NBTB
VCEL
HTH
STEL
GTM
SRPT
IOSP
NCNO
KWR
HHH
STC
BULL
XHR
WLY
CAI
OFG
DGII
FMC
COLM
EYE
UTI
RAMP
NWL
WD
TNK
DXPE
QUBT
SMA
SONO
MD
THR
PEB
CHCO
CTS
GRAL
ARR
NSSC
HLF
GLOB
OI
DEI
WKC
PRLB
IPAR
GABC
ARI
VRE
HTO
NNI
BL
LLYVA
FRSH
STOK
FCF
DDS
LZB
CAPR
XPRO
HCSG
USLM
FUN
SNDR
SOC
SGHC
NRIX
LC
SILA
QCRH
LINC
UNIT
NVRI
MGNI
EFC
AIN
TSHA
PRGO
GHM
AGM
MQ
CRVL
IIPR
INVA
STRA
INSP
DHC
SEM
FLO
PENG
OMCL
REX
SEB
AXGN
KSS
WOR
CCS
ANAB
JBLU
ADUS
BBAI
BLKB
OCUL
BFC
WABC
ANIP
GEF
MCRI
AGYS
SNDX
ASTH
CBZ
LEG
AGIO
FLYW
TTI
ALG
GBX
VVX
SPNT
SBH
SFD
HLMN
BFA
TILE
NN
OUST
DV
SMR
WWW
AMLX
DJT
CBL
AORT
NPKI
GTY
CNOB
NESR
UFPT
VSTS
ZYME
SKWD
TFIN
STBA
ENR
SLVM
AVPT
HCI
IMKTA
SFL
FIGS
TIC
PGNY
CRK
BKE
WTTR
ORC
TNC
LTC
IE
FDP
RLJ
ALMS
PACS
ACT
BRSL
PAYO
MLKN
CRI
LILAK
HOPE
CMPR
AIP
JBIO
UVE
TRS
GRC
VOYG
ATEC
DCH
INOD
SLDE
BORR
TCBK
UVV
BLSH
ASTE
ECVT
EPC
CRVS
HRMY
LPG
GIII
ATRC
RYZ
HLX
PPC
PDFS
MAN
LKFN
KOS
CNXC
JJSF
TRVI
KW
IMAX
TROX
HG
PRKS
TNET
SHLS
NBHC
WEN
HLIT
PUMP
LNN
PWP
PRCT
FIHL
RXRX
NWPX
NVCR
NVAX
ENOV
TNDM
NUVB
PRG
ARDX
DCOM
DLX
ARRY
REAL
CWENA
PEBO
ICFI
OBK
STAA
PRA
WMK
DFIN
ABR
SKYT
UPWK
PZZA
GPRE
UPBD
FIVN
ROCK
PRGS
MBC
RCAT
WLDN
LFST
NTLA
SCL
INTA
TPB
ARLO
LOB
ADTN
FMNB
UAA
VYX
SBSI
CSR
TE
WINA
NSP
XPEL
TRIP
PLPC
GSHD
UA
MFA
CFFN
SMPL
VTOL
GLIBK
CNMD
REYN
CLVT
WSR
WGS
FMBH
FIGR
MLYS
CMRE
AVNS
EYPT
MPLT
COLL
SRCE
ALKT
AESI
WS
ODC
OCFC
PCRX
LADR
ALGT
GCT
PMT
NAT
BTDR
MIAX
SAFT
DOLE
TK
NEO
SGRY
TMP
CCOI
AOSL
SCHL
LXU
GLUE
JBGS
XERS
BKSY
ALH
SENEA
MSEX
PDM
SCSC
SEZL
BFLY
INVX
TALK
LENB
RAPP
CPF
CDNA
DAKT
SMBK
LGIH
AZTA
HROW
CIM
IDT
RDW
UVSP
APOG
ASST
TGLS
OLMA
CTLP
TWO
TRUP
CRAI
MCHB
VRDN
HRTG
ALNT
OMER
USPH
RUSHB
AAT
RVLV
GENI
PNTG
AHCO
CLOV
BUR
TDOC
OIS
APEI
WGO
THRM
PLOW
AI
CVLG
MBIN
KODK
ENVX
TBPH
CTBI
BHRB
VRTS
HAFC
PGEN
GERN
FG
LMB
DEA
CNA
BRSP
INBX
NRIM
TRST
TYRA
IRMD
UMH
FSUN
MBX
HFWA
GOLD
HTB
BY
NX
SAH
UFCS
ESQ
MBWM
CVI
MCBS
OSBC
COTY
FA
NPK
AMBQ
VERX
ORRF
PVLA
LQDT
STGW
BHVN
CODI
FWRG
SAFE
UAMY
FTRE
LIND
RBCAA
FIZZ
CCB
BJRI
NAVI
LZ
EVLV
URGN
EFOR
CMP
AVBP
APPN
NTGR
INGM
FLNG
CRML
FLY
SWBI
MATW
TFSL
AMRC
ASC
LIF
NEXT
WLFC
AMPH
GRDN
BZH
MNKD
IDR
PRCH
CNNE
KOPN
EIG
CGEM
WVE
MCB
IOVA
ESRT
CLB
AMWD
TCBX
SHEN
PSIX
PLSE
SVRA
DRVN
ACVA
BBSI
ILPT
GNK
CPS
BCAX
PAHC
CCBG
KOP
LCID
PKE
PRSU
GLRE
VIR
MYE
MRTN
CARS
ETON
DJCO
NBBK
JBI
GO
FLNC
OXM
PFBC
BAND
AMAL
EGBN
PRAA
ABUS
HTZ
BLFS
TRNS
IART
FBRT
TR
PCT
NBR
FOXF
LYTS
JANX
CSV
CARE
HTFL
CDRE
EHAB
VPG
AKTS
SNCY
AMN
SMP
RIGL
RRBI
XNCR
ADAM
SAIL
MTUS
CNXN
SLS
QDEL
DEC
SLDB
MEG
PD
GBTG
TDAY
PGC
HBNC
OBT
PAYS
FBIZ
MPB
NPCE
FET
TREE
SIBN
ZVRA
PAX
SBGI
FCBC
COUR
HIPO
ASIX
SDGR
ADCT
BFST
CAC
THFF
NB
FOR
BBUC
UNTY
BCML
PFIS
CERT
BKV
RWT
UTL
VSTM
TCMD
STKL
MAMA
FULC
SG
HBCP
AROW
EQBK
HOV
AMTB
BETA
DRUG
RGR
FIP
DC
ORIC
GSBC
CWBC
OMDA
FLOC
GDOT
SXC
CBLL
FWRD
BV
NECB
SMBC
LBRDA
CBRL
EGY
CMPX
ERII
KE
IBCP
CASS
BATRA
NFBK
BCAL
BHB
GEFB
MMI
CRMD
TRC
RES
SEPN
SERV
COFS
SFST
KFRC
EE
AMBP
BBW
SION
NAVN
NXRT
CEVA
ACEL
ONIT
SANA
JBSS
HZO
QNST
HNRG
MGTX
IRWD
FSBC
CWCO
NNE
METC
CLBK
MITK
ACNB
LOCO
ITIC
KURA
CXM
TSBK
FRBA
HTLD
MSBI
PGY
SABR
FISI
RYAM
IMXI
CCNE
IBTA
PKST
SPFI
IHRT
NBN
SD
HELE
TECX
CCSI
BDN
ARVN
VEL
WRLD
CABO
BWB
BIOA
ACTG
CIVB
CTOS
MAZE
HSTM
NIQ
BVS
AMC
WSBF
GDEN
EMBC
AMSF
MVBF
RZLV
MNRO
SEMR
DBI
SPRY
HBT
ATEX
MLR
CAL
KMTS
AVO
BLMN
ALRS
ACIC
MCW
FRST
ARKO
GCMG
WTBA
INN
SLDP
MLAB
AQST
BTBT
FFIC
ANNX
MCS
ALX
TH
ABSI
PAR
FSBW
CZNC
MATV
HIFS
ETD
RUM
EBF
UHT
IIIV
RM
ZUMZ
EVCM
MBUU
GEVO
BXC
GIC
AEVA
CSTL
CTO
TRAX
DIN
SHBI
WTI
AVAH
KALV
IIIN
UWMC
CLPT
ASAN
ESPR
VREX
GOOD
MCFT
EVER
DGICA
MTW
OPK
JMSB
TDUP
RHLD
TRTX
OSPN
UTZ
PANL
AMPL
BBNX
TITN
GRNT
KRNY
PHR
UHAL
BETR
CTKB
DFH
FPI
HPP
INDI
ABAT
GTN
OEC
CCRN
MOV
TIPT
ROOT
NUTX
NGNE
PRTA
CMT
FMAO
BMRC
CVGW
REPX
FDMT
PLAY
EBS
OOMA
WNC
MDXG
VTS
SRTA
RBB
OFIX
GCO
VMD
OPTU
ANGO
FNLC
CMCL
VITL
ASPI
BFS
WASH
CLDT
LXEO
CWH
DSGN
CYH
HY
MYGN
FRPH
DSGR
PUBM
AEBI
CMCO
BWMN
IPI
PHAT
CYRX
OLP
FDBC
TG
EXPI
HYLN
SSTK
PACB
BOW
MRVI
AIOT
CLFD
SCVL
ARHS
HVT
SFIX
NAGE
NVEC
VNDA
HCKT
BMBL
CHCT
MVST
CENT
LILA
AVIR
NGVC
YEXT
YORW
RDVT
CLNE
LXFR
KREF
GRPN
TBCH
KELYA
TRDA
LMNR
FC
UDMY
TWI
LAND
ACCO
CZFS
ANIK
NABL
RPD
INBK
BGS
EVH
REFI
MBI
EVC
ATNI
FUBO
BLND
AHRT
SB
NUS
KRUS
NCMI
PLTK
CRNC
SPOK
UPB
RMNI
DNUT
GRND
PRTH
ZBIO
EU
NEWT
FLGT
AVNW
ULH
PSTL
XRN
RGNX
SPT
ALIT
XPER
DSP
AGL
ANGI
KROS
UTMD
LRMR
JAKK
JOUT
MEI
BSRR
MGPI
APPS
ARCT
PACK
RPC
RICK
RPAY
LAB
CERS
HDSN
RC
MAX
POWW
IVR
ORGO
CNDT
DDD
JACK
RMR
USNA
GOGO
OLPX
REAX
PSFE
WOOF
RCKT
CLW
ALTG
CATX
SVC
EPM
SITC
CRSR
PTLO
ZIP
ENTA
AKBA
ACH
AVXL
NRDS
AMCX
BBBY
NRC
GDYN
SSP
RBBN
ALT
WEAV
CLMB
OSUR
NXDR
STRZ
AURA
NXDT
OSG
ACDC
SLP
BOC
EOLS
CMTG
LOVE
ACRE
RXST
CMRC
CMDB
SVV
ALLO
BCBP
HNST
REPL
ASPN
SEG
SIGA
WEST
CRCT
MASS
LENZ
EGHT
INR
BHR
GNE
EDIT
ASLE
ADV
JRVR
XRX
NLOP
LPRO
TBI
UIS
KIDS
TCX
CBAN
INSE
EVGO
RMAX
CDXS
TTGT
KRRO
RGP
RNA
CVRX
LAW
QTRX
SLQT
BOOM
ONEW
PRME
DMRC
ULCC
FLWS
ALEC
EWCZ
NFE
OFLX
GETY
BYRN
MED
INGN
XPOF
HRTX
OPRX
VYGR
GLIBA
IMMR
ASUR
FNKO
QSI
JELD
RCEL
KLC
CHRS
DOMO
FATE
MNTK
MVIS
OABI
NNOX
NKTX
AVD
ATYR
CRMT
TMCI
HAIN
MXCT
FORR
THRY
ALDX
SKIN
DCGO
GOSS
SSTI
SUNS
BRCC
HCAT
HUMA
TTEC
MYPS
INH
BYND
AKE
SNBR
ARAY
LUNG
DH
WALD
SEAT
ADRO
TEAD
ADRO
P5N994
GTXI
THRD
PBI
RTYM6
ESM6
